,searched_company,company_type,job_id,min_salary,max_salary,gen_ai_flag,jobcat_flag_engineering_it,jobcat_flag_finance,jobcat_flag_hr_admin,jobcat_flag_legal,jobcat_flag_marketing,jobcat_flag_operations_cs,jobcat_flag_product_rnd,jobcat_flag_sales,nyc_flag,chi_flag,sf_flag,sea_flag,name,full_name,ticker,exchange,auditRisk,marketCap,totalRevenue,revenuePerShare,revenueGrowth,trailingEps,forwardEps,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice
0,9fin,startups,10,148700.0,180000.0,0.0,1,0,0,4,1,0,1,3,9,0,0,0,,,,,,,,,,,,,,,,
1,Achieve,startups,10,108333.33333333333,123333.33333333333,0.0,0,0,5,2,0,3,0,0,1,0,0,0,,,,,,,,,,,,,,,,
2,ActBlue,startups,3,167839.5,210726.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,
3,Addition Wealth,startups,5,80000.0,120000.0,0.0,0,0,0,0,0,4,1,0,2,0,1,0,,,,,,,,,,,,,,,,
4,Adyen,startups,14,136785.7142857143,188928.57142857142,0.0,5,0,2,3,1,0,0,3,0,3,5,0,,,,,,,,,,,,,,,,
5,AffiniPay,startups,10,52666.666666666664,57333.333333333336,0.1,7,0,0,0,1,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,
6,Affirm,public,93,102869.56521739131,152880.4347826087,0.0,5,0,56,0,0,32,0,0,0,0,1,0,Affirm,Affirm Holdings Inc.,AFRM,NASDAQ,1.0,16982884352.0,2524931072.0,8.055,0.407,-1.41,0.47,54.69,82.0,20.0,62.26842,74.0
7,Alliant Credit Union,startups,10,97344.44444444444,140527.77777777778,0.0,1,0,8,1,0,0,0,0,0,9,0,0,,,,,,,,,,,,,,,,
8,American Express,public,99,87555.55555555556,157277.77777777778,0.0707070707070707,21,0,30,0,2,41,0,5,48,4,0,0,American Express,American Express Co.,AXP,NYSE,3.0,209234247680.0,59238998016.0,82.534,0.08,13.58,15.12,297.02,371.0,230.0,303.25168,305.0
9,Apex Fintech Solutions,startups,20,123860.0,154800.0,0.0,13,0,1,1,1,1,1,2,5,2,0,0,,,,,,,,,,,,,,,,
10,Ares Management,public,42,153000.0,179000.0,0.023809523809523808,1,4,20,5,2,6,4,0,16,1,0,0,Ares Management,Ares Management,ARES,NYSE,6.0,54938025984.0,3679764992.0,18.885,0.683,2.19,5.6,175.49,227.0,152.0,189.3077,187.0
11,Argyle,startups,2,230000.0,250000.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,Avant,startups,37,89500.0,123500.0,0.0,9,0,13,3,3,6,2,1,9,3,1,0,,,,,,,,,,,,,,,,
13,BancFirst,public,30,,,0.0,4,0,20,1,0,3,1,1,0,0,0,0,BancFirst,BancFirst,BANF,NASDAQ,3.0,3733958400.0,608332032.0,18.438,0.097,6.22,6.18,112.71,135.0,120.0,126.66667,125.0
14,Bancorp,none,37,118394.0,180403.0,0.0,4,3,18,5,0,3,3,1,1,0,0,0,,,,,,,,,,,,,,,,
15,"Bectran, Inc",startups,5,86000.0,97000.0,0.0,2,1,1,0,0,0,0,1,0,5,0,0,,,,,,,,,,,,,,,,
16,Belvedere Trading,startups,10,125500.0,174000.0,0.0,3,2,2,0,0,1,2,0,1,9,0,0,,,,,,,,,,,,,,,,
17,Bilt Rewards,startups,9,152500.0,169285.7142857143,0.0,2,0,0,0,5,2,0,0,7,0,0,0,,,,,,,,,,,,,,,,
18,BlackLine,public,12,146400.0,186837.3290909091,0.08333333333333333,6,0,0,1,1,2,0,2,0,0,0,0,BlackLine,BlackLine Inc.,BL,NASDAQ,1.0,3525431808.0,639606016.0,10.347,0.101,0.98,2.27,56.42,86.0,50.0,65.7,64.0
19,Blackstone,public,81,118936.97260273973,155657.53424657535,0.012345679012345678,7,6,47,4,8,5,1,3,53,0,3,0,Blackstone,Blackstone,BX,NYSE,9.0,201059123200.0,11138276352.0,14.505,0.541,2.92,5.83,165.77,230.0,146.0,179.65,176.5
20,Block,public,56,195687.15384615384,270953.8461538461,0.03571428571428571,15,2,19,9,3,6,2,0,1,8,12,1,Block,Block Inc. (formerly Square Inc.),SQ,NYSE,1.0,50830950400.0,23861534720.0,38.711,0.064,1.67,4.54,82.01,125.0,40.0,97.32756,100.0
21,Braintree,startups,1,84500.0,204600.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
22,Brigit,startups,10,120000.0,147600.0,0.0,3,1,4,0,0,1,1,0,8,0,1,0,,,,,,,,,,,,,,,,
23,CAIS,startups,7,128333.33333333333,170000.0,0.0,0,0,1,0,0,4,1,1,5,0,0,0,,,,,,,,,,,,,,,,
24,CSC,startups,17,57460.0,62460.0,0.0,4,1,2,1,1,5,1,2,0,1,0,0,,,,,,,,,,,,,,,,
25,Canoe,startups,5,126250.0,155000.0,0.2,4,0,0,0,1,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,
26,Capital City Bank Group,public,10,,,0.0,0,1,0,2,0,7,0,0,0,0,0,0,Capital City Bank Group,Capital City Bank Group,CCBG,NASDAQ,10.0,580349120.0,226023008.0,13.34,0.091,3.04,2.92,34.25,44.0,40.0,42.33333,43.0
27,Cash App,startups,9,160766.66666666666,267683.3333333333,0.1111111111111111,3,0,0,2,0,1,2,1,0,0,6,0,,,,,,,,,,,,,,,,
28,Cedar,startups,4,188237.5,231250.0,0.0,0,0,2,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,
29,Check,startups,3,126862.5,164175.0,0.0,2,0,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,
30,Chime,startups,17,132497.5,181325.0,0.0,0,0,2,4,1,8,1,1,4,1,10,0,,,,,,,,,,,,,,,,
31,Clasp,startups,9,109444.44444444444,147777.77777777778,0.0,2,0,3,0,1,0,0,3,1,3,0,0,,,,,,,,,,,,,,,,
32,Clear Street,startups,3,151666.66666666666,175000.0,0.0,2,0,1,0,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,
33,Coinbase,public,68,172288.68421052632,203057.8947368421,0.04411764705882353,43,1,2,9,3,6,3,1,7,0,6,0,Coinbase,Coinbase Global Inc.,COIN,NASDAQ,8.0,62887919616.0,5000869888.0,20.46,0.812,5.9,3.57,251.2,420.0,150.0,288.12,282.0
34,Constrafor,startups,10,127500.0,167000.0,0.0,5,0,0,0,1,0,0,4,10,0,0,0,,,,,,,,,,,,,,,,
35,Current,startups,3,107500.0,142500.0,0.0,0,0,3,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,
36,D.R. Horton,public,96,78333.33333333333,99000.0,0.0,10,1,8,1,10,39,3,24,0,0,0,0,D.R. Horton,D.R. Horton,DHI,NYSE,8.0,44402728960.0,36801400832.0,111.689,-0.048,14.33,15.93,138.4,220.0,125.0,176.91376,177.5
37,DFIN,startups,4,,,0.0,2,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
38,DRW,startups,20,142666.66666666666,197333.33333333334,0.15,7,1,0,1,0,4,6,1,0,13,0,0,,,,,,,,,,,,,,,,
39,Discover,public,13,79018.8,129160.0,0.0,2,0,7,2,1,1,0,0,0,0,0,0,Discover,Discover Financial Services,DFS,NYSE,10.0,44150317056.0,11685999616.0,46.558,0.605,14.66,12.69,175.68,239.0,150.0,196.46153,193.0
40,EDGE,startups,2,54000.0,65000.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,
41,Empower,startups,7,48000.0,48000.0,0.14285714285714285,1,0,0,2,0,4,0,0,1,0,0,0,,,,,,,,,,,,,,,,
42,Enfusion,public,3,121666.66666666667,213333.33333333334,0.0,0,0,2,0,0,1,0,0,2,1,0,0,Enfusion,Enfusion Inc.,ENFN,NYSE,5.0,1020162368.0,195159008.0,2.155,0.154,0.04,0.29,10.81,11.25,8.5,10.16286,10.5
43,Enigma,startups,17,183333.33333333334,218888.88888888888,0.17647058823529413,8,0,0,0,0,0,9,0,4,0,0,0,,,,,,,,,,,,,,,,
44,Enova,public,14,82111.11111111111,114622.22222222222,0.0,2,0,7,1,2,2,0,0,0,13,0,0,Enova,Enova International,ENVA,NYSE,7.0,2568721920.0,1170787968.0,42.107,0.194,6.28,10.86,98.02,130.0,83.0,112.42857,115.0
45,Finch,startups,39,144855.55555555556,166964.44444444444,0.0,5,0,7,7,3,15,1,1,2,0,4,0,,,,,,,,,,,,,,,,
