,title,company,job_id,job_url,searched_company
0,Member Service Representative,SoFi,4140583595,https://www.linkedin.com/jobs/view/4140583595/,SoFi
1,"Executive Coordinator, Office of the CEO",SoFi,4127910776,https://www.linkedin.com/jobs/view/4127910776/,SoFi
2,Principal People Business Partner,SoFi,4136518644,https://www.linkedin.com/jobs/view/4136518644/,SoFi
3,Fraud Investigator (Money),SoFi,4136518640,https://www.linkedin.com/jobs/view/4136518640/,SoFi
4,"Director, People Business Partner",SoFi,4117614783,https://www.linkedin.com/jobs/view/4117614783/,SoFi
5,"Complaints Analyst, Deposits Compliance",SoFi,4137701299,https://www.linkedin.com/jobs/view/4137701299/,SoFi
6,"Intern, Data Scientist, Borrow",SoFi,4141671654,https://www.linkedin.com/jobs/view/4141671654/,SoFi
7,People Team Communications Lead,SoFi,4106324683,https://www.linkedin.com/jobs/view/4106324683/,SoFi
8,"Senior Manager, People Business Partner",SoFi,4139237234,https://www.linkedin.com/jobs/view/4139237234/,SoFi
9,AML Governance Specialist,SoFi,4136518619,https://www.linkedin.com/jobs/view/4136518619/,SoFi
10,"Mortgage Loan Originator, Home Equity",SoFi,4136520447,https://www.linkedin.com/jobs/view/4136520447/,SoFi
11,"Senior Manager, People Business Partner, Operations",SoFi,4138007429,https://www.linkedin.com/jobs/view/4138007429/,SoFi
12,"Complaints Analyst, Deposits Compliance",SoFi,4137700337,https://www.linkedin.com/jobs/view/4137700337/,SoFi
13,"Senior Associate, Corporate Finance",SoFi,4136520472,https://www.linkedin.com/jobs/view/4136520472/,SoFi
14,Staff Internal Auditor,SoFi,4136519537,https://www.linkedin.com/jobs/view/4136519537/,SoFi
15,"Senior Manager, Social Strategist",SoFi,4143862975,https://www.linkedin.com/jobs/view/4143862975/,SoFi
16,"Senior Manager, People Business Partner",SoFi,4139239077,https://www.linkedin.com/jobs/view/4139239077/,SoFi
17,"Associate, Accounting (Financial Analysis)",SoFi,4126275255,https://www.linkedin.com/jobs/view/4126275255/,SoFi
18,"Manager, Member Business",SoFi,4136519529,https://www.linkedin.com/jobs/view/4136519529/,SoFi
19,Fraud Investigator (Money),SoFi,4136520462,https://www.linkedin.com/jobs/view/4136520462/,SoFi
20,"Senior Product Manager, Membership",SoFi,4143067126,https://www.linkedin.com/jobs/view/4143067126/,SoFi
21,SEO Strategist,SoFi,4136520442,https://www.linkedin.com/jobs/view/4136520442/,SoFi
22,Strategic Finance Manager,SoFi,4136514986,https://www.linkedin.com/jobs/view/4136514986/,SoFi
23,Fraud Investigator (Money),SoFi,4136520462,https://www.linkedin.com/jobs/view/4136520462/,SoFi
